record,speech,silence,noise,music
train_132,81,10.15,9.05,0
train_133,93,6.73,0,0
train_134,38,46.84,15.49,0
train_135,86,13.86,0,0
train_136,92,8.26,0,0
train_137,53,19.28,21.16,6.49
train_138,89,2.22,8.63,0
train_139,60,27.15,12.4,0
train_140,67,12.85,19.68,0
train_141,93,6.66,0,0
train_142,50,0,50.03,0
train_143,86,4.22,4.43,5.73
train_144,90,9.48,0,0
train_145,76,0.09,23.76,0
train_146,97,3.23,0.23,0
train_147,71,15.14,11.08,3.07
train_148,89,11.13,0,0
train_149,94,5.49,0.15,0
train_150,75,10.98,13.51,0
train_151,53,11.41,35.43,0
train_152,42,11.32,43.48,3.06
train_153,52,48.45,0,0
train_154,8,0,91.54,0
train_155,97,3.02,0,0
train_156,62,32.52,0.26,5.14
train_157,80,14.76,4.99,0
train_158,71,16.09,12.4,0
train_159,61,7.08,32.15,0
train_160,83,12.64,4,0
train_161,49,0,51.08,0
train_162,97,3.21,0,0
train_163,89,10.32,0.5,0
train_164,60,19.16,21.05,0
train_165,90,10,0,0
train_166,78,11.77,1.77,8.32
train_167,95,5,0,0
train_168,70,16.77,13.6,0
train_169,78,20.45,1.93,0
train_170,0,9.89,89.89,0
train_171,80,18.65,1.36,0
train_172,92,7.9,0,0
train_173,94,6.26,0,0
train_174,60,20.28,4,15.59
train_175,77,21.52,0.97,0
train_176,87,12.48,0.55,0
train_177,82,17.5,0,0
train_178,49,42.1,9.06,0
train_179,35,22.15,43.24,0
train_180,87,12.51,0,0
train_181,82,18.4,0,0
train_182,86,11.9,2.13,0
train_183,88,12.19,0,0
train_184,79,21.29,0.15,0
train_185,92,8.15,0,0
train_186,65,5.3,29.73,0
train_187,96,4.26,0,0
train_188,79,2.51,6.87,11.13
train_189,94,5,0.92,0
train_190,79,17.11,3.43,0
train_191,0,0,99.94,0
train_192,63,13.3,23.88,0
train_193,96,3.92,0.11,0
train_194,73,9.91,17.47,0
train_195,88,11.89,0.48,0
train_196,66,26.99,6.45,0
train_197,65,0,34.84,0
train_198,76,16.52,7.76,0.21
train_199,80,19.61,0,0
train_200,90,9.59,0,0
train_201,88,12.4,0,0
train_202,67,10.72,21.84,0
train_203,88,11.47,0.36,0
train_204,87,11.89,1.28,0
train_205,62,9.34,28.34,0
train_206,88,12.48,0,0
train_207,75,14.61,10.65,0
train_208,80,18.25,1.89,0
train_209,86,14.2,0,0
train_210,91,6.56,2.18,0
train_211,70,29.59,0,0
train_212,96,4,0,0
train_213,24,27.75,48.03,0
train_214,87,10.18,3.25,0
train_215,90,9.86,0.57,0
train_216,67,19.82,12.95,0
train_217,87,12.78,0,0
train_218,86,13.83,0,0
train_219,90,9.88,0,0
train_220,94,6.25,0,0
train_221,81,19.31,0.17,0
train_222,79,17.2,3.85,0
train_223,87,12.17,0.74,0
train_224,68,24.96,7.35,0
train_225,84,16.09,0,0
train_226,38,9.98,19.94,31.79
train_227,94,5.42,0.11,0
train_228,97,3.1,0.06,0
train_229,86,10.51,3.56,0
train_230,93,0.92,6.4,0
train_231,88,8.86,3.42,0
train_232,87,12.6,0.27,0
train_233,77,0.71,22.5,0
train_234,81,17.83,0.91,0
train_235,90,8.99,0.71,0
train_236,63,3.79,32.25,0.41
train_237,0,0,98.63,0
train_238,93,7.3,0,0
train_239,89,11.25,0,0
train_240,92,7.6,0,0
train_241,69,21.1,9.75,0
train_242,55,25.44,19.81,0
train_243,96,4.12,0,0
train_244,88,11.55,0,0
train_245,88,11.15,0.24,0.18
train_246,95,4.49,0,0
train_247,92,8.48,0,0
train_248,88,9.7,1.82,0
train_249,93,7.14,0,0
train_250,54,6.26,39.95,0
train_251,67,32.91,0,0
train_252,71,2.66,26.34,0
train_253,85,13.73,0.82,0
train_254,82,8.87,9.43,0
train_255,90,10.4,0,0
train_256,84,13.67,2.42,0
train_257,81,14.29,4.98,0
train_258,85,14.93,0,0
train_259,75,21.91,2.9,0
train_260,86,14.33,0.11,0
train_261,94,6.07,0,0
train_262,82,15.02,3.19,0
train_263,54,12.45,33.7,0
train_264,90,9.45,0.45,0
train_265,88,11.83,0.51,0
train_266,66,23.81,10.08,0
train_267,65,21.22,13.3,0
train_268,66,0.21,34.07,0
train_269,86,11.55,2.03,0
train_270,86,0,13.83,0
train_271,88,11.96,0,0
train_272,89,9.35,1.53,0
train_273,90,7.59,2.08,0
train_274,81,16.04,3.16,0
train_275,44,8.66,47.22,0
train_276,93,6.97,0,0
train_277,85,14.64,0,0
train_278,94,4.41,1.38,0
train_279,74,10.82,15.36,0
train_280,90,9.11,0.49,0
train_281,81,12.17,2.21,4.42
train_282,94,5.68,0,0
train_283,75,0,25.28,0
train_284,95,4.88,0,0
train_285,66,28.12,5.72,0
train_286,90,9.49,0.59,0
train_287,88,10.48,1.49,0
train_288,54,7.91,38.05,0
train_289,91,9.4,0,0
train_290,95,4.85,0,0
train_291,56,12.23,31.61,0
train_292,78,8.02,14.17,0
train_293,87,13.33,0,0
train_294,88,12.38,0,0
train_295,79,9.55,11.39,0
train_296,83,16.76,0,0
train_297,27,27.99,45.01,0
train_298,80,17.83,2.56,0
train_299,49,11.55,39.69,0
train_300,83,13.92,3.24,0
train_301,93,6.5,0.43,0
train_302,90,9.71,0,0
train_303,89,10.51,0.36,0
train_304,74,20.66,5.49,0
train_305,18,0,82.14,0
train_306,82,17.71,0.35,0
train_307,98,1.81,0,0
train_308,19,0,80.94,0
train_309,62,6.92,19.25,12.22
train_310,89,10.43,0.57,0
train_311,87,11.91,1.27,0
train_312,79,6.85,13.71,0
train_313,51,30.98,17.7,0
train_314,72,12.17,11.25,4.25
train_315,83,16.53,0,0
train_316,93,4.83,1.72,0
train_317,89,10.75,0,0
train_318,91,7.29,2.03,0
train_319,87,5.03,7.77,0
train_320,90,9.86,0,0
train_321,15,5.04,44.12,35.97
train_322,55,12.8,31.85,0
train_323,51,15.16,29.77,4.41
train_324,88,11.04,0.44,0
train_325,89,10.52,0,0
train_326,74,12.67,13.04,0
train_327,85,14.65,0.31,0
train_328,62,11.58,26.51,0
train_329,88,9.61,2.32,0
train_330,80,0.56,19.92,0
train_331,90,9.69,0.23,0
train_332,90,9.95,0,0
train_333,81,18.89,0,0
train_334,88,12.19,0,0
train_335,13,15.71,14.24,56.72
train_336,90,9.69,0,0
train_337,94,5.68,0,0
train_338,76,23.13,0.86,0
train_339,2,2.1,96.14,0
train_340,63,26.3,10.97,0
train_341,93,7.36,0,0
train_342,87,12.73,0,0
train_343,45,23.87,21.79,9.1
train_344,87,9.35,3.74,0
train_345,91,8.66,0,0
train_346,86,13.4,0.94,0
train_347,96,3.79,0,0
train_348,90,6.2,3.77,0
train_349,88,11.65,0.61,0
train_350,90,10.1,0,0
train_351,88,9.49,2.54,0
train_352,90,10.05,0,0
train_353,84,15.81,0.34,0
train_354,92,7.45,0.45,0
train_355,80,19.13,1.3,0
train_356,65,25.86,9.14,0
train_357,85,15.32,0,0
train_358,49,11.16,3.57,36.69
train_359,68,29.42,2.38,0
train_360,98,1.19,0.47,0
train_361,67,11.97,4.66,16.04
train_362,85,14.58,0.26,0
train_363,79,15.75,4.77,0
train_364,74,20.87,5.02,0
train_365,84,6.1,4.07,6
train_366,70,19.51,10.53,0
train_367,86,14.29,0,0
train_368,84,15.49,0,0
train_369,86,13.23,0.59,0
train_370,89,10.72,0.12,0
train_371,92,6.06,1.76,0
train_372,26,0,74.04,0
train_373,81,14,4.92,0
train_374,18,8.26,58.55,14.72
train_375,50,10.34,39.35,0
train_376,87,12.28,0.71,0
train_377,21,7.51,41.34,29.97
train_378,93,7.44,0,0
train_379,67,7.98,24.85,0
train_380,84,15.87,0,0
train_381,89,9.36,2.02,0
train_382,21,1.99,55.82,21.22
train_383,88,9.68,2.09,0
train_384,89,10.9,0,0
train_385,89,10.47,0,0
train_386,85,14.46,0.92,0
train_387,58,0,41.96,0
train_388,79,8.26,9.59,2.92
train_389,20,7.74,50.55,21.83
train_390,93,7.43,0,0
train_391,74,10.83,13.57,1.55
train_392,97,2.81,0.5,0
train_393,95,4.09,1.25,0
train_394,93,6.46,0.82,0
train_395,84,16.44,0,0
train_396,21,1.75,48.5,28.4
train_397,90,6.79,3.49,0
train_398,95,5.1,0,0
train_399,89,10.27,0.97,0
train_400,87,13.06,0,0
train_401,79,6.39,14.29,0
train_402,89,10.9,0,0
train_403,88,12.22,0,0
train_404,86,12.27,1.8,0
train_405,95,4.74,0,0
train_406,75,11.2,13.76,0
train_407,78,15.03,6.79,0.1
train_408,83,15.38,1.64,0
train_409,79,19.39,1.91,0
train_410,85,7.11,8,0
train_411,68,9.13,23.21,0
train_412,81,18.66,0.27,0
train_413,92,7.54,0,0
train_414,84,10.35,5.92,0
train_415,88,12.01,0,0
train_416,75,9.7,6.78,8.24
train_417,86,13.86,0.49,0
train_418,77,17.96,5.16,0
train_419,81,18.96,0,0
train_420,80,20.06,0.24,0
train_421,90,9.63,0,0
train_422,92,4.17,3.06,1.25
train_423,80,18.22,1.44,0
train_424,66,4.81,28.93,0
train_425,84,15.63,0,0
train_426,46,14.29,39.4,0
train_427,85,10.25,4.56,0
train_428,51,26.5,22.51,0
train_429,88,10.28,1.3,0
train_430,52,14.63,33.04,0
train_431,92,7.89,0,0
train_432,47,29.73,23.42,0
train_433,66,34.24,0,0
train_434,82,15.01,2.48,0
train_435,87,12.95,0,0
train_436,92,1.3,6.19,0
train_437,38,12.38,49.71,0
train_438,66,25.26,8.85,0
train_439,90,9.52,0,0
train_440,92,6.63,1.31,0
train_441,78,19.44,2.51,0
train_442,92,7.8,0,0
train_443,86,13.67,0,0
train_444,88,11.89,0,0
train_445,94,6.13,0,0
train_446,47,17.88,35.11,0
train_447,89,11.42,0,0
train_448,77,11.8,10.81,0
train_449,93,6.71,0.21,0
train_450,79,20.61,0,0
train_451,91,9.41,0,0
train_452,87,5.8,7.31,0
train_453,80,13.03,7.01,0
train_454,94,5.35,0.77,0
train_455,83,16.76,0,0
train_456,96,2.23,2.02,0
train_457,90,9.41,0.26,0
train_458,96,4.33,0,0
train_459,97,1.46,1.52,0
train_460,85,12.57,1.98,0
train_461,94,6.46,0,0
train_462,90,9.68,0,0
train_463,92,6.93,1.48,0
train_464,58,37.25,4.39,0
train_465,87,13.32,0,0
train_466,52,0,48.35,0
train_467,39,4.3,56.94,0
train_468,93,6.92,0,0
train_469,85,12.68,2.52,0
train_470,72,21.61,6.85,0
train_471,91,8.62,0,0
train_472,83,15.26,1.96,0
train_473,87,12.66,0,0
train_474,80,16.07,3.63,0
train_475,86,14.04,0,0
train_476,84,14.52,1.45,0
train_477,80,17.5,2.66,0
train_478,55,12.46,32.14,0
train_479,93,5.18,2.09,0
train_480,87,12.73,0.55,0
train_481,87,13.1,0,0
train_482,93,6.02,0.68,0
train_483,25,13.33,61.74,0
train_484,94,6.09,0,0
train_485,85,15.08,0,0
train_486,39,19.58,40.92,0
train_487,90,10.12,0,0
train_488,86,3.2,10.38,0
train_489,97,1.34,2.05,0
train_490,86,11.69,2.54,0
train_491,20,7.33,43.19,29.45
train_492,97,2.92,0.34,0
train_493,86,13.88,0,0
train_494,90,9.71,0,0
train_495,87,12.87,0,0
train_496,90,3.27,3.54,2.87
train_497,26,15.86,57.82,0
train_498,90,5.36,4.83,0
train_499,92,8.05,0.29,0
train_500,80,19.91,0,0
train_501,77,14.04,8.53,0
train_502,93,5.98,1.43,0
train_503,26,32.62,41.42,0
train_504,82,12.33,5.89,0
train_505,38,9.62,52.68,0
train_506,88,11.63,0,0
train_507,86,13.71,0.4,0
train_508,72,26.19,1.48,0
train_509,50,17.81,31.66,0
train_510,56,10.49,33.68,0
train_511,94,5.87,0.1,0
train_512,88,11.04,0.57,0
train_513,91,9.36,0,0
train_514,46,3.96,49.97,0
train_515,87,12.07,0.7,0
train_516,62,14.97,23,0
train_517,87,11.83,1.24,0
train_518,62,4.53,33.25,0
train_519,91,8.67,0,0
train_520,61,0,39.36,0
train_521,92,7.56,0,0
train_522,83,7.2,8.25,1.37
train_523,90,9.24,0.89,0
train_524,84,10.38,5.37,0
train_525,63,9.72,27.59,0
train_526,96,4.43,0,0
train_527,81,17.97,0.61,0
train_528,38,17.51,43.99,0
train_529,86,10.33,3.17,0
train_530,90,10.17,0.09,0
train_531,80,15.05,4.92,0
train_532,38,0,61.69,0
train_533,83,8.69,8.3,0
train_534,67,12.74,20.23,0
train_535,89,10.63,0,0
train_536,94,5.48,0,0.07
train_537,74,23.1,2.49,0
train_538,81,19.31,0,0
train_539,71,7.82,21.26,0
train_540,93,6.72,0,0
train_541,95,4.62,0.2,0
train_542,86,14.05,0,0
train_543,92,8.45,0,0
train_544,87,11.02,2,0
train_545,91,9.07,0.33,0
train_546,98,2.24,0,0
train_547,91,8.42,0.2,0
train_548,51,7.89,40.77,0
train_549,92,7.63,0.13,0
train_550,94,5.64,0.55,0
train_551,54,32.48,10.74,3.22
train_552,85,13.69,1.68,0
train_553,73,13.72,6.14,7.25
train_554,92,5.99,2.28,0
train_555,13,0,85.66,0.88
train_556,64,29.02,6.5,0
train_557,83,8.81,7.77,0
train_558,90,10.03,0.27,0
train_559,71,14.52,13.99,0
train_560,96,4.14,0,0
train_561,67,11.55,21.13,0
train_562,96,3.89,0,0
train_563,86,13.51,0,0
train_564,85,14.18,0.76,0
train_565,85,13.02,2.25,0
train_566,0,25.66,74.31,0
train_567,89,10.31,1.1,0
train_568,81,5.93,1.14,11.63
train_569,81,19.34,0,0
train_570,83,14.6,2.07,0
train_571,91,8.68,0,0
train_572,80,16.81,2.77,0
train_573,83,15.51,1.03,0
train_574,91,8.83,0,0
train_575,0,26.03,73.93,0
train_576,92,8,0.15,0
train_577,83,5.99,11.47,0
train_578,66,2.47,31.07,0
train_579,69,28.81,1.87,0
train_580,62,4.53,33.04,0
train_581,96,0,3.89,0
train_582,96,2.01,2.07,0
train_583,87,12.64,0,0
train_584,79,17.96,3.07,0
train_585,92,8.15,0.22,0
train_586,65,11.92,17.31,6.02
train_587,93,6.59,0,0
train_588,73,19.29,7.66,0
train_589,62,29.65,8.07,0
train_590,91,8.97,0,0
train_591,86,10.1,3.37,0
train_592,80,20,0,0
train_593,93,5.9,0.63,0
train_594,71,10.86,8.58,9.32
train_595,85,11.73,2.97,0
train_596,55,0,44.52,0
train_597,86,13.39,0.21,0
train_598,74,19.11,7.15,0
train_599,77,10.78,12.51,0
train_600,85,14.16,0.57,0
train_601,90,8.18,2.11,0
train_602,90,9.92,0.13,0
train_603,76,24.03,0,0
train_604,79,15.09,5.6,0
train_605,90,10.12,0.05,0
train_606,89,10.49,0,0
train_607,82,7.7,10.71,0
train_608,58,25.65,15.84,0
train_609,73,15.62,10.77,0.43
train_610,90,6.4,3.86,0
train_611,76,13.78,10.26,0
train_612,87,6.72,6.47,0
train_613,47,0,52.85,0
train_614,18,45.15,37.25,0
train_615,85,13.7,1.44,0
train_616,87,11.94,0.7,0
train_617,37,38.25,24.36,0
train_618,0,7.28,31.56,61.14
train_619,51,13.15,33.75,2.08
train_620,93,6.52,0,0
train_621,88,3.15,9.2,0
train_622,91,9.02,0,0
train_623,86,14.03,0,0
train_624,86,12.49,1.13,0
train_625,55,0,44.59,0
train_626,86,14.44,0,0
train_627,84,16.39,0,0
train_628,87,10.3,2.86,0
train_629,94,5.68,0,0
train_630,80,16.51,3.05,0
train_631,82,17.96,0,0
train_632,92,8.06,0,0
train_633,49,9.06,0,41.85
train_634,74,22.34,3.26,0
train_635,37,36.66,24.36,1.9
train_636,77,4.01,18.81,0
train_637,85,15.07,0,0
train_638,55,0,44.88,0
train_639,87,10.9,1.58,0
train_640,77,9.46,8.62,4.58
train_641,51,27.51,21.15,0
train_642,85,14.01,0.71,0
train_643,94,5.98,0.4,0
train_644,80,11.45,8.47,0
train_645,60,6.08,34.18,0
train_646,88,10.93,0.99,0
train_647,91,9.06,0.23,0
train_648,86,14.12,0,0
train_649,81,17.97,0.88,0
train_650,90,8.69,0.81,0
train_651,91,8.8,0.1,0
train_652,87,12.02,0.73,0
train_653,81,17.64,0.98,0
train_654,76,22.34,1.27,0
train_655,67,32.75,0.6,0
train_656,84,7.71,8.46,0
train_657,57,25.6,17.12,0
train_658,80,16.69,2.98,0
train_659,87,12.49,0,0
train_660,87,12.53,0.13,0
train_661,93,7.14,0,0
train_662,63,4.39,32.07,0
train_663,99,1.03,0,0
train_664,90,10.4,0,0
train_665,80,19.04,0.45,0
train_666,93,6.86,0,0
train_667,91,8.47,0,0
train_668,88,12.14,0,0
train_669,83,16.18,0.81,0.11
train_670,58,7.86,34.42,0
train_671,68,14.44,17.13,0
train_672,83,7.87,9.25,0
train_673,85,4.52,10.25,0
train_674,73,7.94,18.88,0
train_675,81,1.89,16.95,0
train_676,95,5.28,0,0
train_677,85,14.92,0,0
train_678,67,20.94,11.83,0
train_679,67,22.81,10.47,0
train_680,87,10.59,1.99,0
train_681,45,16.01,39.33,0
train_682,94,6.2,0,0
train_683,19,0,80.97,0
train_684,0,0,90.31,9.59
train_685,71,12.73,15.81,0
train_686,82,16.9,1.12,0
train_687,62,5.65,32.16,0
train_688,0,0,90.06,9.84
train_689,89,10.63,0.61,0
train_690,67,13.48,19.66,0
train_691,79,20.68,0,0
train_692,84,16.02,0,0
train_693,0,50.45,49.5,0
train_694,91,9.36,0,0
train_695,91,9.28,0,0
train_696,27,15.16,57.48,0
train_697,64,14.3,6.84,14.69
train_698,89,11.44,0,0
train_699,50,43.42,1.45,5.29
train_700,61,10.51,27.96,0
train_701,85,15.1,0,0
train_702,81,16.15,2.83,0
train_703,47,25.24,4.57,23
train_704,95,2.88,2.08,0
train_705,78,14.68,2.17,5.16
train_706,60,4.09,36,0
train_707,97,3.25,0,0
train_708,63,14.52,22.41,0
train_709,50,43.09,1.42,5.27
train_710,73,14.52,12.64,0
train_711,88,11.78,0,0
train_712,93,7.23,0,0
train_713,90,10.45,0,0
train_714,91,4.89,1.36,2.48
train_715,59,5.63,35.67,0
train_716,55,25.06,19.45,0
train_717,90,10.27,0,0
train_718,89,10.48,0,0
train_719,84,15.29,0.34,0
train_720,94,5.94,0,0
train_721,99,0.94,0,0
train_722,50,43.26,0,6.77
train_723,73,25.23,2.22,0
train_724,56,41.84,0.69,1.89
train_725,95,5,0,0
train_726,73,8.57,10.81,7.11
train_727,50,43.99,1.23,4.62
train_728,85,14.7,0.22,0
train_729,93,6.8,0,0
train_730,93,6.68,0,0
train_731,89,11.44,0,0
train_732,48,16.12,35.72,0
train_733,93,4.93,1.96,0
train_734,81,7.31,11.77,0
train_735,90,9.72,0.17,0
train_736,92,3.39,4.34,0
train_737,50,23.59,9.84,16.96
train_738,72,7.76,16.1,3.86
train_739,88,12.02,0,0
train_740,75,13.59,11.09,0
train_741,0,64.45,35.51,0
train_742,80,20.25,0,0
train_743,91,8.49,0.27,0
train_744,63,19.03,17.97,0
train_745,21,46.64,28.14,4.33
train_746,72,26.41,1.49,0
train_747,10,41.57,47.98,0
train_748,92,6.34,1.72,0
train_749,58,19.02,22.99,0
train_750,65,27.57,7.18,0
train_751,86,13.82,0,0
train_752,88,12.15,0.13,0
train_753,26,25.15,48.55,0
train_754,74,11.7,14.43,0
train_755,16,0,84.11,0
train_756,25,4.98,69.87,0
train_757,68,3.77,28.04,0
train_758,58,7.34,34.5,0
train_759,91,9.29,0,0
train_760,89,10.81,0,0
train_761,93,7.31,0,0
train_762,42,37.2,20.77,0
train_763,72,8.33,19.72,0
train_764,90,10.12,0,0
train_765,94,3.62,2.3,0
train_766,88,11.71,0,0
train_767,72,27.62,0,0
train_768,33,4.83,62.22,0
train_769,91,8.58,0,0
train_770,15,1.18,42.83,41.08
train_771,13,7.16,57.79,22.42
train_772,80,19.92,0,0
train_773,52,18.88,10.22,18.71
train_774,67,18.32,9.05,5.27
train_775,67,15.71,16.81,0
train_776,96,0.44,3.39,0
train_777,32,7.05,61.03,0
train_778,34,36.42,20.55,9.2
train_779,92,2.9,5.58,0
train_780,62,6.53,31.12,0
train_781,76,16.35,8.06,0
train_782,13,7.17,40.74,39.4
train_783,59,33.61,6.92,0
train_784,62,15.58,16.53,5.43
train_785,94,4.61,0.96,0
train_786,68,22.16,9.95,0
train_787,3,19.96,77.09,0
train_788,53,0,46.53,0
train_789,0,63.97,35.99,0
train_790,88,4.98,1.44,5.5
train_791,94,6.24,0,0
train_792,80,19.38,0.13,0
train_793,91,9.4,0,0
train_794,71,18.45,10.74,0
train_795,46,17.38,37.1,0
train_796,48,10.84,41.2,0
train_797,93,5.82,1.1,0
train_798,80,16.86,3.25,0
train_799,87,12.16,0.9,0
train_800,98,1.92,0,0
train_801,71,19.19,9.42,0
train_802,97,0.7,2.7,0
train_803,65,11.2,20.65,3.03
train_804,85,12.88,2.06,0
train_805,80,7.06,5.36,7.84
train_806,86,13.63,0.7,0
train_807,80,18.51,1.42,0
train_808,83,8.2,9.09,0
train_809,79,19.1,1.79,0
train_810,69,16.86,11.97,2.04
train_811,88,8.77,2.68,0
train_812,92,2.16,5.93,0
train_813,89,10.71,0,0
train_814,96,3.01,0.69,0
train_815,76,8.56,4.54,11.08
train_816,77,20.87,2.22,0
train_817,56,28.52,14.36,1.16
train_818,65,34.8,0,0
train_819,85,13.12,0.43,1.65
train_820,83,10.92,6.3,0
train_821,66,24.12,10.1,0
train_822,90,9.62,0.29,0
train_823,44,4.4,51.72,0
train_824,71,7.33,21.89,0
train_825,86,1.64,3.01,9.79
train_826,94,2.53,3.74,0
train_827,91,9.41,0,0
train_828,73,14.13,13.29,0
train_829,66,11.09,23.16,0
train_830,80,12.9,7.55,0
train_831,94,5.79,0,0
train_832,51,21.25,27.83,0
train_833,94,0,5.95,0
train_834,50,24.75,17.52,7.55
train_835,91,8.8,0,0
train_836,95,3.65,0.72,0.97
train_837,55,0,44.92,0
train_838,95,4.6,0,0
train_839,69,21.9,8.73,0
train_840,65,20.5,10.69,4.26
train_841,88,11.25,0.4,0
train_842,61,21.81,11.57,5.4
train_843,68,20.93,10.97,0
train_844,81,17.81,1.33,0
train_845,70,29.85,0,0
train_846,26,24.54,49.68,0
train_847,72,27.59,0,0
train_848,67,24.35,1.03,7.76
train_849,74,9.23,16.54,0
train_850,89,10.64,0,0
train_851,83,17.17,0,0
train_852,88,7.25,4.41,0
train_853,78,18.7,3.31,0
train_854,88,3.15,8.46,0
train_855,65,20.22,10.53,4.7
train_856,60,8.31,32.14,0
train_857,59,18.75,22.04,0
train_858,92,8.47,0,0
train_859,47,17.08,35.44,0
train_860,92,6.3,1.43,0
train_861,36,21.85,41.97,0
train_862,89,1.96,8.76,0
train_863,93,3.63,3.77,0
train_864,97,2.59,0.2,0
train_865,94,5.72,0.12,0
train_866,71,17.94,10.65,0
train_867,91,9.35,0,0
train_868,93,1.69,5.06,0
train_869,69,25.7,5.71,0
train_870,59,21.67,18.89,0
train_871,91,8.21,1.18,0
train_872,91,8.69,0,0
train_873,50,0,50.11,0
train_874,40,13.34,46.22,0
train_875,89,3.19,8,0
train_876,76,23.35,0.91,0
train_877,48,22.82,20.76,8.07
train_878,90,9.77,0,0
train_879,58,15.49,7.52,18.99
train_880,75,21.53,3.76,0
train_881,40,20.55,36,3.54
train_882,65,34.97,0,0
train_883,70,11.87,18.27,0
train_884,96,3.61,0,0
train_885,51,11.93,37.16,0
train_886,91,9.17,0.23,0
train_887,44,22.53,33.24,0.19
train_888,89,8.46,2.67,0
train_889,81,17.46,1.35,0
train_890,89,4.26,7.15,0
train_891,50,0,50.35,0
train_892,2,5.77,92.58,0
train_893,89,11.46,0,0
train_894,76,21.1,2.56,0
train_895,81,15.97,3.1,0
train_896,26,6.89,66.63,0
train_897,89,7.16,3.36,0
train_898,68,5.61,26.18,0
